ts,slug,token_id,decision_type,mid,action_side,action_price,action_size,spread,sport,ref_source,fair_a,fair_b,momentum,symbol,book_edge_delta,book_size_mult,retrieved_categories,exit_sweep,crypto_exit,exit_reason,exit_reason_category,pnl_pct_at_exit,cash_pnl_usdc,realized_pnl,percent_pnl_current,outcome,market_resolved,holding_hours
2026-06-08T07:00:52.160273+00:00,eth-flipped-in-2026,,hold,0.37,,,,0.013,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T07:00:52.470375+00:00,eth-flipped-in-2026,,hold,0.51,,,,,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T07:00:52.752582+00:00,bitcoin-up-or-down-june-8-1240am-1245am-et,,hold,0.61,,,,0.01,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T07:00:53.083279+00:00,bitcoin-up-or-down-june-8-1240am-1245am-et,,hold,0.42,,,,0.01,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T08:30:06.699957+00:00,will-china-invades-taiwan-before-gta-vi-716-644,,hold,0.505,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T08:30:07.204874+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-08T08:30:07.941406+00:00,will-jd-vance-win-the-2028-us-presidential-election,,hold,0.1585,,,,,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,-0.039816,,hold,1,
2026-06-08T08:32:27.298234+00:00,will-china-invades-taiwan-before-gta-vi-716-644,,hold,0.505,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T08:32:27.745308+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-08T08:32:28.424673+00:00,will-jd-vance-win-the-2028-us-presidential-election,,hold,0.1585,,,,,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,-0.039816,,hold,1,
2026-06-08T08:34:30.659936+00:00,will-china-invades-taiwan-before-gta-vi-716-644,,hold,0.505,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,,,hold,,
2026-06-08T08:34:31.224538+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-08T08:34:31.979080+00:00,will-jd-vance-win-the-2028-us-presidential-election,,hold,0.1585,,,,,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,,-0.039816,,hold,1,
2026-06-09T13:24:08.577260+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-09T13:24:52.654341+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-09T15:18:15.316467+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,,hold,0.4925,,,,,,,,,,,,,mechanics|quant_signals,,,,,,,-0.004027,,hold,1,
2026-06-09T15:29:49.832407+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,105267568073659068217311993901927962476298440625043565106676088842803600775810,entry,0.4925,BUY,0.4975,0.72985500000000007350,0.998,,,,,,,,,mechanics|quant_signals,,,,,,-0.004027,-0.004027,,breakeven,1,
2026-06-09T15:29:50.577685+00:00,will-the-carolina-hurricanes-win-the-2026-nhl-stanley-cup,79397003434468715775480922117285203652110865791390656395657957066470661722480,entry,0.375,BUY,0.382,1.58550,0.98,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,0.7923,0.7923,,win,1,
2026-06-09T15:29:51.454547+00:00,will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,96797656031191119176188453471637044475353637081608890153571023284371119486681,entry,0.116,BUY,0.123,2.100,0.998,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,0.060127,0.060127,,breakeven,1,
2026-06-09T15:29:52.251410+00:00,will-spain-win-the-2026-fifa-world-cup-963,4394372887385518214471608448209527405727552777602031099972143344338178308080,entry,0.1595,BUY,0.1665,2.100,0.998,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,0.037893,0.037893,,breakeven,1,
2026-06-09T15:29:53.118020+00:00,will-jd-vance-win-the-2028-us-presidential-election,16040015440196279900485035793550429453516625694844857319147506590755961451627,entry,0.1505,BUY,0.1575,2.100,0.998,,,,,,,,,forecasting|mechanics|quant_signals,,,,,,-0.039816,-0.039816,,breakeven,1,
2026-06-09T15:30:25.648421+00:00,will-bitcoin-hit-1m-before-gta-vi-872-424,105267568073659068217311993901927962476298440625043565106676088842803600775810,entry,0.4925,BUY,0.4975,0.72985500000000007350,0.001,,,,,,,,,mechanics|quant_signals,,,,,,-0.004027,-0.004027,,breakeven,1,
