slug,token_id,sport,symbol,entry_ts,exit_ts,holding_hours,entry_mid,exit_mid,entry_price,exit_price,size,spread_at_entry,fair_a,fair_b,momentum,book_edge_delta,book_size_mult,ref_source,exit_reason,exit_reason_category,pnl_pct,cash_pnl_usdc,realized_pnl,outcome,market_resolved
will-the-carolina-hurricanes-win-the-2026-nhl-stanley-cup,79397003434468715775480922117285203652110865791390656395657957066470661722480,,,2026-06-09T15:29:50.577685+00:00,2026-06-10T18:59:38.105595+00:00,27.5,0.375,0.575,0.382,0.568,1.385999999999999790,0.98,,,,,,,,,48.69,0.2578,0.7923,win,1
will-spain-win-the-2026-fifa-world-cup-963,4394372887385518214471608448209527405727552777602031099972143344338178308080,,,2026-06-09T15:29:52.251410+00:00,2026-06-10T22:53:44.610608+00:00,31.4,0.1595,0.1645,0.1665,0.1615,12.12,0.998,,,,,,,FLATTEN: resolves >24h away — exiting long-term position,FLATTEN,-3.0,-0.0606,0.037893,breakeven,1
will-jd-vance-win-the-2028-us-presidential-election,16040015440196279900485035793550429453516625694844857319147506590755961451627,,,2026-06-09T15:29:53.118020+00:00,2026-06-10T22:53:44.618817+00:00,31.4,0.1505,0.1495,0.1575,0.1465,13.33,0.998,,,,,,,FLATTEN: resolves >24h away — exiting long-term position,FLATTEN,-6.98,-0.1466,-0.039816,breakeven,1
will-bitcoin-hit-1m-before-gta-vi-872-424,105267568073659068217311993901927962476298440625043565106676088842803600775810,,,2026-06-09T15:29:49.832407+00:00,2026-06-10T22:53:44.651496+00:00,31.4,0.4925,0.4925,0.4975,0.4895,2.04,0.998,,,,,,,FLATTEN: resolves >24h away — exiting long-term position,FLATTEN,-1.61,-0.0163,-0.004027,breakeven,1
will-megaeth-perform-an-airdrop-by-june-30-143-229-513-574-212-254,96797656031191119176188453471637044475353637081608890153571023284371119486681,,,2026-06-09T15:29:51.454547+00:00,2026-06-10T22:53:44.666683+00:00,31.4,0.116,0.1105,0.123,0.1075,19.24,0.998,,,,,,,FLATTEN: resolves >24h away — exiting long-term position,FLATTEN,-12.6,-0.2982,0.060127,breakeven,1
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:53:49.463599+00:00,2026-06-10T22:55:01.741613+00:00,0.02,0.795,0.135,0.217,0.132,23.51,,,,0.0029540336879359964,,,,TAKE-PROFIT: +79.4% >= 8.0% — locking gains,TAKE-PROFIT,79.4,-1.9983,,win,
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:55:20.937808+00:00,2026-06-10T22:55:31.168066+00:00,,0.925,0.125,0.087,0.122,50.01,,,,0.003639803171096029,,,,TAKE-PROFIT: +79.4% >= 8.0% — locking gains,TAKE-PROFIT,79.4,1.7504,,win,
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:55:55.228682+00:00,2026-06-10T22:56:05.520682+00:00,,0.825,0.145,0.187,0.142,22.24,,,,0.002954196966384401,,,,TAKE-PROFIT: +281.0% >= 8.0% — locking gains,TAKE-PROFIT,281.0,-1.0008,,win,
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:56:24.264455+00:00,2026-06-10T22:56:42.972080+00:00,0.01,0.865,0.125,0.14700000000000002,0.122,28.58,,,,0.002954196966384401,,,,TAKE-PROFIT: +117.8% >= 8.0% — locking gains,TAKE-PROFIT,117.8,-0.7145,,win,
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:57:07.642891+00:00,2026-06-10T22:57:17.875964+00:00,,0.875,0.115,0.137,0.112,22.79,,,,0.0029654631793220683,0.004,0.94,,TAKE-PROFIT: +10.7% >= 8.0% — locking gains,TAKE-PROFIT,10.7,-0.5698,,win,
bitcoin-up-or-down-june-10-2026-6pm-et,87132886453672258229047310394340531788071010731794246751937990752394484751204,,BTCUSDT,2026-06-10T22:57:38.109010+00:00,2026-06-10T22:57:48.325577+00:00,,0.855,0.085,0.157,0.082,30.78,,,,0.002775896900762821,0.004,0.94,,STOP-LOSS: -11.7% <= -5.0% — cutting loss,STOP-LOSS,-11.7,-2.3085,,loss,
